Country Code,Contry Name,Region,Year,abr,co2_prod,coef_ineq,diff_hdi_phdi,eys,eys_f,eys_m,gdi,gii,gni_pc_f,gni_pc_m,gnipc,hdi,hdi_f,hdi_m,ihdi,ineq_edu,ineq_inc,ineq_le,le,le_f,le_m,lfpr_f,lfpr_m,loss,mf,mmr,mys,mys_f,mys_m,phdi,pr_f,pr_m,se_f,se_m,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Depressive disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Schizophrenia,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Bipolar disorder,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Eating disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Anxiety disorders,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized
AFG,Afghanistan,South Asia,2005,133.071,0.050802445,11.99939241,1.0,7.660417938,4.592572117,10.55986004,0.541,0.748,361.2608997,2492.272718,1435.19173,0.4,0.25804377,0.476655583,0.4415,11.73821662,18.18098242,11.429245,58.3608,59.6966,57.0128,15.644,76.318,12.40216429,2.02,1140,1.694581217,0.815483408,2.202513392,0.396,25.92592593,74.07407407,1.912627834,8.861332105,Low income,44.723,10.003,92.20471135,6209140000.0,242.031,1.22415,77.4,58.29,39.2952,2.942,890.48584,132.7123,147.21605,20.11376,438.41013,0.21409707,4.9658794,4.6736326,0.6994395,0.095989875
AFG,Afghanistan,South Asia,2006,126.106,0.061869518,11.99939241,0.733496333,7.926955986,5.047424126,10.65084991,0.56,0.749,379.7255676,2638.813517,1518.767846,0.409,0.270040327,0.482456142,0.4415,11.73821662,18.18098242,11.429245,58.6844,60.2431,57.1332,15.455,76.422,12.40216429,1.53,1120,1.77670323,0.841578877,2.300053271,0.406,25.92592593,74.07407407,1.887654031,9.45898459,Low income,43.87,9.645,95.05640346,6971290000.0,263.734,2.10712,74.7,58.826,40.4881,2.825,890.12366,132.8283,147.37941,20.305365,439.30695,0.214259,4.96284,4.6780405,0.69953,0.09687539
AFG,Afghanistan,South Asia,2007,125.858,0.083710521,11.99939241,0.70754717,8.193494034,5.502276134,10.74183979,0.587,0.752,450.2102996,3147.896767,1811.166659,0.424,0.290083384,0.494361998,0.4415,11.73821662,18.18098242,11.429245,59.1113,60.909,57.3416,15.275,76.567,12.40216429,1.53,1090,1.858825243,0.867674346,2.39759315,0.421,25.87209302,74.12790698,1.862680228,10.05663707,Low income,42.944,9.287,97.99629222,9747890000.0,359.693,1.9,72.0,59.375,41.5105,2.128,890.02045,132.85744,147.46146,20.703999,439.95288,0.21459809,4.9597197,4.682732,0.6995203,0.09869648
AFG,Afghanistan,South Asia,2008,128.171,0.151484676,11.99939241,0.697674419,8.460032082,5.957128143,10.83282967,0.594,0.755,434.2512158,3047.085012,1753.066993,0.43,0.296278756,0.498714113,0.4415,11.73821662,18.18098242,11.429245,59.8515,61.5289,58.1715,15.137,76.712,12.40216429,1.38,1030,1.940947256,0.893769815,2.495133029,0.427,25.87209302,74.12790698,1.837706425,10.65428956,Low income,41.949,8.932,101.0271054,10109200000.0,364.66,1.84,69.4,59.93,42.4628,2.494,889.03674,133.19771,147.72333,21.125774,440.6444,0.21502665,4.9531674,4.688263,0.69948006,0.100904115
AFG,Afghanistan,South Asia,2009,120.635,0.237367297,11.99939241,0.909090909,8.726570129,6.411980152,10.92381954,0.609,0.755,466.8929261,3273.768702,1884.200863,0.44,0.308813946,0.507355452,0.4415,11.73821662,18.18098242,11.429245,60.3636,61.8922,58.82,15.076,76.813,12.40216429,1.43,993,2.023069268,0.919865284,2.592672907,0.436,25.92592593,74.07407407,1.812732622,11.25194204,Low income,40.903,8.584,104.151655,12439100000.0,438.076,3.55,66.8,60.484,43.493,2.47,888.5571,133.64053,147.6236,21.584486,441.7015,0.21545461,4.9492145,4.695408,0.6994876,0.10303231
AGO,Angola,Sub-Saharan Africa,1997,187.51,0.494076954,11.99939241,0.0,3.720989982,3.354747118,4.087232846,0.0,0.708,3265.647048,4720.571543,3980.79539,0.0,0.0,0.0,0.4415,11.73821662,18.18098242,11.429245,46.3065,48.2792,44.3496,75.428,79.31,12.40216429,2.41,985,0.0,0.0,0.0,0.0,9.545454545,90.45454545,7.571691197,26.67845807,Upper middle income,48.652,18.952,229.454023,7648380000.0,514.295,0.00567375,129.5,45.519,11.9287,21.465,1085.362,134.31033,118.12668,21.700247,375.67633,0.21250297,5.9420056,3.9685378,0.55375075,0.102799736
AGO,Angola,Sub-Saharan Africa,1998,182.742,0.473215418,11.99939241,0.0,3.804769993,3.418440104,4.195759773,0.0,0.683,3208.570241,4620.42859,3902.583775,0.0,0.0,0.0,0.4415,11.73821662,18.18098242,11.429245,45.057,47.6182,42.5824,75.456,79.252,12.40216429,2.44,953,0.0,0.0,0.0,0.0,15.45454545,84.54545455,8.15708305,27.20244409,Upper middle income,48.46,18.706,236.5505392,6506230000.0,423.594,0.0184537,127.5,45.763,12.3202,20.438,1082.0928,133.71042,118.033585,21.637388,375.9067,0.21201985,5.926207,3.971707,0.5537657,0.1024636
AGO,Angola,Sub-Saharan Africa,1999,178.605,0.575425435,11.99939241,1.648351648,4.207225839,3.759085079,4.66112566,0.838,0.678,2903.498465,4166.533714,3524.189975,0.364,0.331296397,0.395491538,0.4415,11.73821662,18.18098242,11.429245,45.3858,48.4781,42.4549,75.494,79.167,12.40216429,2.35,909,3.3935,2.23161,4.69564,0.358,15.45454545,84.54545455,8.787733434,27.73672161,Upper middle income,48.293,18.404,243.8665352,6152920000.0,387.784,0.0719641,125.1,46.093,12.7271,20.897,1079.2198,133.44286,118.0215,21.57773,376.0808,0.21162672,5.916476,3.9747522,0.5537814,0.102249324
AGO,Angola,Sub-Saharan Africa,2000,177.316,0.580410214,11.99939241,1.6,4.609681686,4.099730055,5.126491547,0.831,0.671,3047.361813,4356.572612,3690.604857,0.375,0.33990875,0.409036832,0.4415,11.73821662,18.18098242,11.429245,46.0236,48.5612,43.562,75.539,79.064,12.40216429,2.74,827,3.42472,2.27684,4.70932,0.369,15.45454545,84.54545455,9.467141432,28.28149276,Upper middle income,48.15,18.036,251.4087992,9129590000.0,556.836,0.105046,122.2,46.522,13.1511,22.885,1077.0374,133.47922,117.97016,21.599688,376.2379,0.21145953,5.90626,3.9771934,0.5537959,0.10227342
AGO,Angola,Sub-Saharan Africa,2001,176.253,0.570697567,11.99939241,1.813471503,5.012137532,4.44037503,5.591857433,0.845,0.665,3225.211701,4600.28093,3900.710372,0.386,0.353062392,0.417888303,0.4415,11.73821662,18.18098242,11.429245,46.5905,49.6056,43.7139,75.546,79.055,12.40216429,3.26,766,3.463879585,2.333822012,4.726426601,0.379,15.45454545,84.54545455,10.19907665,28.83696365,Upper middle income,48.027,17.597,259.1843291,8936060000.0,527.334,0.136014,118.9,47.059,13.5925,23.115,1075.1329,133.56477,117.97682,21.670671,376.56012,0.21163055,5.896979,3.9794693,0.55380994,0.10260164
