Country Code,Contry Name,Region,Year,abr,co2_prod,coef_ineq,diff_hdi_phdi,eys,eys_f,eys_m,gdi,gii,gni_pc_f,gni_pc_m,gnipc,hdi,hdi_f,hdi_m,ihdi,ineq_edu,ineq_inc,ineq_le,le,le_f,le_m,lfpr_f,lfpr_m,loss,mf,mmr,mys,mys_f,mys_m,phdi,pr_f,pr_m,se_f,se_m,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
AFG,Afghanistan,South Asia,1990,142.96,0.209727313,11.99939241,1.098901099,2.504050016,1.970662649,3.939092538,0.595,0,668.0557602,4700.298515,2684.550019,0.273,0.196279945,0.329910184,0.4415,11.73821662,18.18098242,11.429245,45.9672,48.3973,43.7088,15.18,77.43,12.40216429,2.33,1500,0.97112539,0.342503031,1.311019876,0.27,0,0,0.700484716,5.419458611,Low income,48.88,15.241,58.38874311,14492100000,3192.1,0,121.1,50.331,19.0122,6.582
AFG,Afghanistan,South Asia,1991,147.525,0.182524769,11.99939241,1.075268817,2.806550026,2.0966789,4.171639642,0.588,0,564.9263743,3987.412921,2276.289409,0.279,0.196378106,0.334045576,0.4415,11.73821662,18.18098242,11.429245,46.6631,49.1439,44.3528,15.214,77.176,12.40216429,2.28,1530,1.019355778,0.371860434,1.385485805,0.276,0,0,0.772360539,5.583395245,Low income,48.763,14.783,60.19458052,14492100000,3192.1,8.26723,117.3,50.999,20.3704,2.976
AFG,Afghanistan,South Asia,1992,147.521,0.095232862,11.99939241,1.045296167,3.109050035,2.230753402,4.417915329,0.586,0,508.7507302,3611.099678,2059.868084,0.287,0.199362258,0.34022826,0.4415,11.73821662,18.18098242,11.429245,47.5955,50.3197,45.0697,15.223,76.871,12.40216429,2.35,1520,1.067586167,0.401217837,1.459951734,0.284,0,0,0.844236362,5.747331878,Low income,48.709,14.362,62.05626858,14492100000,3192.1,8.26723,113.7,51.641,22.1878,3.173
AFG,Afghanistan,South Asia,1993,147.896,0.084284849,11.99939241,1.01010101,3.411550045,2.373401451,4.678730074,0.548,0,374.5810925,2675.906967,1525.533426,0.297,0.195311403,0.356374407,0.4415,11.73821662,18.18098242,11.429245,51.4664,52.7389,50.2164,15.197,76.58,12.40216429,2.1,1480,1.115816555,0.43057524,1.534417663,0.294,0,0,0.916112186,5.911268512,Low income,48.717,13.974,63.97553462,14492100000,3192.1,8.26723,110.4,52.256,24.2266,3.463
AFG,Afghanistan,South Asia,1994,155.669,0.075053905,11.99939241,1.02739726,3.714050055,2.525171289,4.954942201,0.524,0,266.2076098,1908.508902,1087.96189,0.292,0.182091907,0.347560398,0.4415,11.73821662,18.18098242,11.429245,51.4945,53.5442,49.5307,15.178,76.33,12.40216429,1.83,1540,1.164046944,0.459932642,1.608883592,0.289,0,0,0.987988009,6.075205145,Low income,48.77,13.616,65.9541594,14492100000,3192.1,8.26723,107.1,52.842,26.1553,3.612
AFG,Afghanistan,South Asia,1995,156.77,0.067943421,11.99939241,0.967741935,4.016550064,2.686646222,5.247460706,0.543,0,328.4241349,2347.28821,1339.087122,0.31,0.199483054,0.367555056,0.4415,11.73821662,18.18098242,11.429245,52.5442,54.0874,51.0387,15.221,76.102,12.40216429,1.81,1490,1.212277332,0.489290045,1.683349521,0.307,0,0,1.059863832,6.239141779,Low income,48.835,13.282,67.99397876,14492100000,3192.1,8.26723,104,53.398,27.7405,3.653
AFG,Afghanistan,South Asia,1996,154.932,0.061787143,11.99939241,0.940438871,4.319050074,2.858446852,5.557248247,0.544,0,324.3166378,2336.562506,1332.30721,0.319,0.204407892,0.376092144,0.4415,11.73821662,18.18098242,11.429245,53.2433,54.8057,51.7216,15.078,76.14,12.40216429,1.62,1440,1.251383053,0.518647448,1.736839132,0.316,0,0,1.121384663,6.344188554,Low income,48.87,12.964,70.09688532,14492100000,3192.1,8.26723,101.1,53.924,28.8782,3.621
AFG,Afghanistan,South Asia,1997,156.444,0.056005215,11.99939241,0.92879257,4.621550083,3.041233468,5.885324314,0.536,0,297.8914719,2157.935831,1230.26129,0.323,0.204163534,0.380760776,0.4415,11.73821662,18.18098242,11.429245,53.6342,55.1513,52.1525,14.954,76.262,12.40216429,1.73,1470,1.290488773,0.54800485,1.790328743,0.32,0,0,1.182905495,6.449235328,Low income,48.833,12.655,72.26483023,14492100000,3192.1,8.26723,98.4,54.424,29.6497,3.603
AFG,Afghanistan,South Asia,1998,154.262,0.052143695,11.99939241,0.925925926,4.924050093,3.23570858,6.232768583,0.534,0,277.7259462,2016.629812,1149.90239,0.324,0.203051618,0.380485829,0.4415,11.73821662,18.18098242,11.429245,52.9431,54.8179,51.1337,14.873,76.415,12.40216429,2.08,1410,1.329594493,0.577362253,1.843818354,0.321,0,0,1.244426326,6.554282103,Low income,48.688,12.348,74.49982498,14492100000,3192.1,8.26723,95.7,54.906,30.2328,3.536
AFG,Afghanistan,South Asia,1999,154.416,0.040132679,11.99939241,0.903614458,5.226550102,3.442619624,6.600724469,0.523,0,258.5663333,1878.913793,1071.800919,0.332,0.205236817,0.39227905,0.4415,11.73821662,18.18098242,11.429245,54.8464,56.3004,53.4104,14.827,76.549,12.40216429,2.03,1470,1.368700214,0.606719656,1.897307965,0.329,0,0,1.305947158,6.659328878,Low income,48.419,12.037,76.80394328,14492100000,3192.1,8.26723,93.1,55.376,30.8961,3.606
AFG,Afghanistan,South Asia,2000,152.572,0.036461584,11.99939241,1.194029851,5.529050112,3.662761828,6.99040289,0.515,0,237.2676187,1726.031083,984.9974338,0.335,0.203936948,0.396252763,0.4415,11.73821662,18.18098242,11.429245,55.2978,56.8579,53.7617,14.795,76.646,12.40216429,2.28,1450,1.407805934,0.636077058,1.950797576,0.331,0,0,1.36746799,6.764375653,Low income,48.021,11.718,79.17932297,14492100000,3192.1,8.26723,90.6,55.841,31.8291,3.517
AFG,Afghanistan,South Asia,2001,150.863,0.036930645,11.99939241,1.18694362,5.831550121,3.896981274,7.403086251,0.504,0,216.8189728,1564.229173,894.0245886,0.337,0.201547442,0.400002035,0.4415,11.73821662,18.18098242,11.429245,55.7981,57.3437,54.2716,14.936,76.589,12.40216429,2.34,1390,1.465160991,0.671958328,2.001140739,0.333,0,0,1.476499959,7.183766943,Low income,47.505,11.387,81.62816801,14492100000,3192.1,0.00472257,88,56.308,33.0959,3.426
